Show_Id,Title,Type,Genre,Country,Release_Year,Date_Added,Rating,Duration
s0079,Netflix Title 79,TV Show,"Documentary, Romance, Action",Canada,2016,2016-04-13,R,5 Seasons
s0080,Netflix Title 80,Movie,"Drama, Documentary, Thriller",Japan,2019,2016-11-01,G,130 min
s0081,Netflix Title 81,Movie,"Documentary, Comedy, Drama",Canada,1997,2021-08-22,G,124 min
s0082,Netflix Title 82,TV Show,"Romance, Drama, Thriller",India,2016,2019-02-26,TV-MA,4 Seasons
s0083,Netflix Title 83,Movie,Thriller,Spain,2008,2019-01-23,TV-14,102 min
s0084,Netflix Title 84,TV Show,"Animation, Documentary",Spain,2014,2021-01-13,R,3 Seasons
s0085,Netflix Title 85,Movie,Sci-Fi,Japan,2021,2015-12-21,R,152 min
s0086,Netflix Title 86,TV Show,"Action, Sci-Fi",Spain,2005,2015-04-28,TV-PG,2 Seasons
s0087,Netflix Title 87,TV Show,"Documentary, Crime, Drama",South Korea,2020,2017-11-24,PG-13,5 Seasons
s0088,Netflix Title 88,Movie,"Horror, Sci-Fi, Crime",France,1997,2017-09-15,R,137 min
s0089,Netflix Title 89,Movie,"Horror, Documentary, Romance",Canada,1997,2018-04-20,R,140 min
s0090,Netflix Title 90,TV Show,"Sci-Fi, Documentary, Crime",South Korea,2008,2021-03-04,PG-13,3 Seasons
s0091,Netflix Title 91,Movie,Crime,Canada,1998,2023-02-02,PG-13,103 min
s0092,Netflix Title 92,Movie,"Crime, Documentary, Comedy",Japan,2001,2020-06-06,TV-14,104 min
s0093,Netflix Title 93,TV Show,Crime,United Kingdom,2002,2019-01-18,PG-13,2 Seasons
s0094,Netflix Title 94,TV Show,"Action, Sci-Fi, Comedy",Germany,1996,2015-08-12,PG-13,1 Seasons
s0095,Netflix Title 95,TV Show,Drama,Spain,2010,2020-05-14,PG-13,3 Seasons
s0096,Netflix Title 96,TV Show,Animation,France,1998,2015-09-25,R,6 Seasons
s0097,Netflix Title 97,Movie,Comedy,Japan,1999,2016-09-03,G,151 min
s0098,Netflix Title 98,TV Show,"Thriller, Sci-Fi, Crime",Canada,2014,2021-09-07,TV-PG,3 Seasons
s0099,Netflix Title 99,TV Show,"Comedy, Horror, Crime",United States,2004,2021-05-18,TV-MA,3 Seasons
s0100,Netflix Title 100,Movie,Action,United Kingdom,2000,2017-09-09,TV-MA,80 min
s0101,Netflix Title 101,TV Show,Horror,Spain,2009,2022-09-24,PG-13,3 Seasons
s0102,Netflix Title 102,TV Show,Documentary,India,2017,2020-02-03,TV-14,6 Seasons
s0103,Netflix Title 103,Movie,"Action, Documentary, Animation",Germany,2008,2016-04-15,PG,89 min
s0104,Netflix Title 104,Movie,Sci-Fi,Japan,2000,2018-06-13,R,118 min
s0105,Netflix Title 105,TV Show,"Comedy, Drama",Germany,2003,2020-08-11,R,4 Seasons
s0106,Netflix Title 106,TV Show,Animation,United States,2014,2017-10-22,G,5 Seasons
s0107,Netflix Title 107,Movie,Action,Japan,2019,2022-07-16,TV-MA,140 min
s0108,Netflix Title 108,TV Show,"Sci-Fi, Comedy",United Kingdom,2024,2018-02-13,TV-MA,4 Seasons
s0109,Netflix Title 109,TV Show,Action,South Korea,2008,2018-09-27,TV-14,3 Seasons
s0110,Netflix Title 110,TV Show,"Crime, Drama",Japan,2017,2020-07-22,TV-14,4 Seasons
s0111,Netflix Title 111,Movie,"Crime, Drama",South Korea,2005,2017-10-30,G,149 min
s0112,Netflix Title 112,TV Show,"Animation, Sci-Fi",Canada,2008,2015-08-11,TV-MA,6 Seasons
s0113,Netflix Title 113,TV Show,"Action, Documentary, Sci-Fi",Canada,2019,2015-07-31,PG-13,6 Seasons
s0114,Netflix Title 114,TV Show,Documentary,Canada,1998,2015-04-29,TV-14,5 Seasons
s0115,Netflix Title 115,Movie,Sci-Fi,India,2012,2019-07-30,PG,95 min
s0116,Netflix Title 116,Movie,"Documentary, Thriller, Sci-Fi",Japan,2010,2023-01-14,TV-MA,140 min
s0117,Netflix Title 117,Movie,Animation,United Kingdom,2009,2021-03-07,R,145 min
s0118,Netflix Title 118,Movie,"Romance, Crime",Japan,2022,2015-10-13,TV-PG,114 min
s0119,Netflix Title 119,Movie,"Animation, Sci-Fi, Action",Japan,2004,2023-02-21,TV-PG,137 min
s0120,Netflix Title 120,TV Show,"Thriller, Sci-Fi, Romance",Germany,2006,2018-09-23,TV-PG,2 Seasons
s0121,Netflix Title 121,Movie,"Drama, Romance",Canada,2013,2019-04-18,TV-PG,140 min
s0122,Netflix Title 122,TV Show,Action,United Kingdom,2007,2022-06-11,R,5 Seasons
s0123,Netflix Title 123,TV Show,"Sci-Fi, Drama, Action",Spain,2022,2016-02-16,G,4 Seasons
s0124,Netflix Title 124,Movie,"Thriller, Comedy, Romance",Japan,1997,2020-04-07,PG-13,148 min
s0125,Netflix Title 125,TV Show,"Drama, Comedy, Horror",Spain,2005,2022-01-11,TV-PG,6 Seasons
s0126,Netflix Title 126,TV Show,"Comedy, Sci-Fi, Action",France,2002,2016-01-06,G,6 Seasons
s0127,Netflix Title 127,TV Show,Documentary,United States,2023,2015-04-29,PG-13,3 Seasons
s0128,Netflix Title 128,TV Show,"Animation, Action",Canada,2008,2016-08-19,TV-MA,2 Seasons
s0129,Netflix Title 129,Movie,"Horror, Sci-Fi, Action",France,1997,2021-11-01,TV-MA,109 min
s0130,Netflix Title 130,TV Show,"Drama, Sci-Fi, Documentary",Spain,2015,2017-11-06,PG-13,6 Seasons
s0131,Netflix Title 131,Movie,"Thriller, Documentary",South Korea,1997,2019-12-15,TV-MA,138 min
s0132,Netflix Title 132,TV Show,Thriller,Spain,2001,2019-04-25,G,5 Seasons
s0133,Netflix Title 133,TV Show,"Thriller, Documentary, Drama",Japan,2013,2018-04-26,G,5 Seasons
s0134,Netflix Title 134,Movie,"Horror, Romance",Spain,2024,2021-10-19,TV-PG,108 min
s0135,Netflix Title 135,Movie,Drama,United Kingdom,2014,2017-10-23,TV-14,119 min
s0136,Netflix Title 136,TV Show,Comedy,South Korea,1996,2021-07-01,TV-14,3 Seasons
s0137,Netflix Title 137,TV Show,Crime,United Kingdom,2018,2019-08-29,PG,3 Seasons
s0138,Netflix Title 138,TV Show,"Documentary, Romance",Japan,2021,2016-11-04,TV-PG,1 Seasons
s0139,Netflix Title 139,TV Show,"Thriller, Crime, Romance",Canada,1997,2016-07-30,TV-PG,1 Seasons
s0140,Netflix Title 140,TV Show,"Romance, Documentary",Germany,1995,2017-12-19,G,5 Seasons
s0141,Netflix Title 141,TV Show,"Horror, Sci-Fi, Drama",South Korea,2021,2022-02-28,G,5 Seasons
s0142,Netflix Title 142,TV Show,Sci-Fi,Canada,2024,2021-11-03,TV-14,6 Seasons
s0143,Netflix Title 143,TV Show,Drama,India,2015,2019-07-31,PG,3 Seasons
s0144,Netflix Title 144,TV Show,Thriller,Canada,1998,2016-02-03,TV-MA,4 Seasons
s0145,Netflix Title 145,TV Show,"Action, Thriller, Comedy",Germany,2016,2022-10-23,R,4 Seasons
s0146,Netflix Title 146,TV Show,"Sci-Fi, Horror",South Korea,2003,2015-05-15,PG,3 Seasons
s0147,Netflix Title 147,Movie,"Drama, Thriller",Germany,2016,2019-02-13,TV-14,115 min
s0148,Netflix Title 148,Movie,Animation,India,1998,2020-02-06,TV-14,82 min
s0149,Netflix Title 149,Movie,"Horror, Comedy, Animation",Canada,2020,2018-09-28,PG,155 min
s0150,Netflix Title 150,Movie,Animation,South Korea,2021,2017-08-12,TV-PG,80 min
s0151,Netflix Title 151,TV Show,"Action, Comedy",United Kingdom,2022,2016-08-15,TV-MA,6 Seasons
s0152,Netflix Title 152,Movie,Animation,South Korea,1999,2015-03-02,TV-PG,121 min
s0153,Netflix Title 153,Movie,"Thriller, Crime, Comedy",United States,2000,2017-12-22,PG,88 min
s0154,Netflix Title 154,TV Show,Sci-Fi,Germany,2009,2019-01-22,TV-MA,5 Seasons
s0155,Netflix Title 155,Movie,"Drama, Animation",Germany,2014,2015-06-27,PG-13,141 min
s0156,Netflix Title 156,TV Show,"Sci-Fi, Comedy, Crime",India,2008,2022-09-11,R,3 Seasons
s0157,Netflix Title 157,Movie,"Animation, Crime, Romance",Japan,1997,2016-05-31,TV-MA,128 min
s0158,Netflix Title 158,TV Show,"Comedy, Crime, Horror",France,2009,2020-09-01,G,4 Seasons
s0159,Netflix Title 159,TV Show,"Thriller, Animation",France,2023,2017-07-24,PG-13,6 Seasons
s0160,Netflix Title 160,Movie,"Romance, Action",South Korea,2005,2019-10-15,TV-14,140 min
s0161,Netflix Title 161,Movie,Romance,India,1997,2015-12-16,R,96 min
s0162,Netflix Title 162,Movie,"Comedy, Thriller, Romance",Germany,2013,2021-04-19,PG-13,134 min
s0163,Netflix Title 163,Movie,Animation,Japan,2004,2021-09-25,PG-13,144 min
s0164,Netflix Title 164,Movie,Romance,Spain,1999,2022-05-13,PG,151 min
s0165,Netflix Title 165,TV Show,"Crime, Animation",Canada,1998,2018-02-15,TV-PG,1 Seasons
s0166,Netflix Title 166,TV Show,"Romance, Animation",Japan,1995,2017-01-08,TV-14,1 Seasons
s0167,Netflix Title 167,Movie,Drama,France,2022,2016-08-09,G,91 min
s0168,Netflix Title 168,Movie,Romance,Spain,2007,2019-09-16,PG-13,119 min
s0169,Netflix Title 169,TV Show,Action,India,2019,2021-05-13,G,5 Seasons
s0170,Netflix Title 170,Movie,"Thriller, Sci-Fi, Crime",Japan,2016,2015-12-01,R,133 min
s0171,Netflix Title 171,TV Show,"Comedy, Documentary",India,2001,2020-09-29,PG-13,6 Seasons
s0172,Netflix Title 172,TV Show,Thriller,Japan,2011,2022-06-25,G,5 Seasons
s0173,Netflix Title 173,Movie,Documentary,Japan,1995,2017-04-17,PG,117 min
s0174,Netflix Title 174,TV Show,"Action, Animation",Spain,1998,2015-02-01,TV-14,4 Seasons
s0175,Netflix Title 175,Movie,"Drama, Thriller",South Korea,2011,2021-04-07,G,82 min
s0176,Netflix Title 176,TV Show,"Animation, Thriller",South Korea,2024,2015-11-15,TV-MA,6 Seasons
s0177,Netflix Title 177,TV Show,"Action, Sci-Fi",France,2004,2016-04-16,G,6 Seasons
s0178,Netflix Title 178,TV Show,"Animation, Thriller",India,1997,2019-11-24,PG,5 Seasons
s0179,Netflix Title 179,Movie,"Action, Comedy",South Korea,2007,2018-06-24,PG,145 min
s0180,Netflix Title 180,Movie,"Romance, Action",Canada,2011,2020-09-19,TV-PG,110 min
s0181,Netflix Title 181,Movie,"Action, Comedy, Animation",Canada,1999,2017-11-14,PG,160 min
s0182,Netflix Title 182,TV Show,"Animation, Romance, Crime",Spain,2009,2021-04-28,TV-14,2 Seasons
s0183,Netflix Title 183,TV Show,"Documentary, Drama",Spain,1997,2020-04-04,TV-14,3 Seasons
s0184,Netflix Title 184,Movie,Romance,Spain,2004,2020-03-06,G,116 min
s0185,Netflix Title 185,Movie,"Animation, Crime",Germany,2015,2016-01-05,R,85 min
s0186,Netflix Title 186,TV Show,"Sci-Fi, Crime, Action",Canada,2024,2021-05-30,PG-13,1 Seasons
s0187,Netflix Title 187,TV Show,"Action, Drama, Horror",India,1998,2018-11-07,TV-MA,6 Seasons
s0188,Netflix Title 188,TV Show,Romance,Germany,2009,2020-11-16,TV-MA,3 Seasons
s0189,Netflix Title 189,TV Show,"Drama, Romance, Comedy",South Korea,2007,2019-08-02,TV-14,3 Seasons
s0190,Netflix Title 190,Movie,"Animation, Action",France,2012,2022-08-10,PG-13,122 min
s0191,Netflix Title 191,Movie,"Thriller, Action",United Kingdom,2013,2022-06-11,PG-13,156 min
s0192,Netflix Title 192,Movie,"Action, Crime",France,2004,2021-04-08,TV-14,91 min
s0193,Netflix Title 193,TV Show,"Action, Horror",United States,2011,2019-01-22,PG-13,3 Seasons
s0194,Netflix Title 194,TV Show,Documentary,United Kingdom,2001,2017-07-16,PG,1 Seasons
s0195,Netflix Title 195,Movie,"Action, Animation",United Kingdom,2016,2018-10-11,TV-MA,103 min
s0196,Netflix Title 196,Movie,"Horror, Sci-Fi",United States,2018,2019-11-28,R,158 min
s0197,Netflix Title 197,TV Show,Documentary,Canada,2019,2020-01-13,TV-MA,4 Seasons
s0198,Netflix Title 198,Movie,"Thriller, Crime",Spain,2006,2022-08-10,R,147 min
s0199,Netflix Title 199,TV Show,"Drama, Sci-Fi",United Kingdom,2000,2017-03-28,TV-PG,3 Seasons
s0200,Netflix Title 200,Movie,Action,India,2017,2020-10-14,PG-13,114 min
